Rok,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/ogrody liczba,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/ogrody powierzchnia,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/działki liczba,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/działki powierzchnia,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Tereny zieleni/parki spacerowo - wypoczynkowe powierzchnia ogółem (w miastach i na wsi),STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Tereny zieleni/zieleńce powierzchnia ogółem (w miastach i na wsi),STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Tereny zieleni/lasy gminne powierzchnia ogółem (w miastach i na wsi),STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Tereny zieleni/zieleńce obiekty ogółem (w miastach i na wsi),"STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Tereny zieleni - wskaźniki/udział parków, zieleńców i terenów zieleni osiedlowej w powierzchni ogółem"
2003,564.0,6617.0,155862.0,5040.5,,,,,
2004,561.0,6597.4,157373.0,5030.2,2260.9,968.3,7084.2,1791.0,0.2
2005,560.0,6577.6,157165.0,5027.5,2318.4,1011.3,7141.2,1833.0,0.2
2006,545.0,6560.2,156911.0,5006.6,2327.2,1081.0,7128.2,1929.0,0.3
2007,547.0,6556.9,156760.0,5002.9,2386.9,1108.6,7162.4,1963.0,0.3
2008,546.0,6503.7,155332.0,4953.9,2203.0,1029.2,7158.9,1922.0,0.2
2009,546.0,6501.0,154632.0,4948.0,2239.7,1057.8,7134.1,1951.0,0.3
2010,545.0,6482.5,154375.0,4943.8,2476.9,1041.4,7158.4,1625.0,0.3
2011,540.0,6480.8,154319.0,4942.0,2539.1,1063.7,7122.9,1684.0,0.3
2012,536.0,6445.9,153254.0,4907.1,2567.2,1080.3,7163.8,1764.0,0.3
2013,536.0,6405.6,152880.0,4865.9,2565.53,1081.33,7139.0,1765.0,0.3
2014,535.0,6376.7,152240.0,4834.2,2652.16,1090.79,7154.42,1846.0,0.3
2015,528.0,6284.4,138409.0,4742.0,2704.75,1095.26,7130.51,1891.0,0.3
2016,528.0,6270.5,150650.0,4811.0,2716.7,1137.74,7088.12,1958.0,0.3
2017,525.0,6299.2,150092.0,4792.5,2758.76,1552.39,7095.12,2191.0,0.3
2018,520.0,6230.8,149113.0,4737.1,2755.7,1680.58,7069.17,2261.0,0.3
