Rok,BUDOWNICTWO MIESZKANIOWE (grupa w przebudowie)/Budynki mieszkalne nowe oddane do użytkowania (dane kwartalne)/I kwartał ogółem ogółem ogółem ogółem,BUDOWNICTWO MIESZKANIOWE (grupa w przebudowie)/Budynki mieszkalne nowe oddane do użytkowania (dane kwartalne)/I kwartał ogółem ogółem tradycyjna udoskonalona tradycyjna udoskonalona,BUDOWNICTWO MIESZKANIOWE (grupa w przebudowie)/Budynki mieszkalne nowe oddane do użytkowania (dane kwartalne)/I kwartał ogółem ogółem wielkopłytowa wielkopłytowa,BUDOWNICTWO MIESZKANIOWE (grupa w przebudowie)/Budynki mieszkalne nowe oddane do użytkowania (dane kwartalne)/I kwartał ogółem ogółem wielkoblokowa wielkoblokowa,BUDOWNICTWO MIESZKANIOWE (grupa w przebudowie)/Budynki mieszkalne nowe oddane do użytkowania (dane kwartalne)/I kwartał ogółem ogółem monolityczna monolityczna,BUDOWNICTWO MIESZKANIOWE (grupa w przebudowie)/Budynki mieszkalne nowe oddane do użytkowania (dane kwartalne)/I kwartał ogółem ogółem konstrukcji drewnianych konstrukcji drewnianych,BUDOWNICTWO MIESZKANIOWE (grupa w przebudowie)/Budynki mieszkalne nowe oddane do użytkowania (dane kwartalne)/I kwartał ogółem ogółem kanadyjska kanadyjska,BUDOWNICTWO MIESZKANIOWE (grupa w przebudowie)/Budynki mieszkalne nowe oddane do użytkowania (dane kwartalne)/I kwartał ogółem ogółem inna inna,BUDOWNICTWO MIESZKANIOWE (grupa w przebudowie)/Budynki mieszkalne nowe oddane do użytkowania (dane kwartalne)/I kwartał ogółem jednorodzinny ogółem ogółem,BUDOWNICTWO MIESZKANIOWE (grupa w przebudowie)/Budynki mieszkalne nowe oddane do użytkowania (dane kwartalne)/I kwartał ogółem jednorodzinny tradycyjna udoskonalona tradycyjna udoskonalona
2002,,,,,,,,4.5,45.4,836.0
2003,,,,,,,,3.4,34.2,661.0
2004,,,,,,,,2.4,24.0,462.0
2005,,,,,,,,3.5,34.7,677.0
2006,,,,,,,,2.1,21.3,367.0
2007,,,,,,,,2.8,28.0,439.0
2008,,,,,,,,3.7,37.3,575.0
2009,,,,,,,,3.1,30.6,466.0
2010,,,,,,,,3.7,36.6,602.0
2011,,,,,,,,4.3,43.3,845.0
2012,,,,,,,,4.0,40.2,804.0
2013,,,,,,,,3.3,33.3,772.0
2014,,,,,,,,6.9,69.0,1596.0
2015,,,,,,,,4.8,47.5,1098.0
2016,,,,,,,,3.8,38.2,832.0
2017,,,,,,,,3.1,30.9,692.0
2018,49.0,48.0,1.0,,,41.0,41.0,4.6,45.6,991.0
2019,61.0,57.0,,3.0,1.0,55.0,54.0,,,
